rating,store_name,business_name,mall_type,zone,state,city,date,month,quarter,fy,sentiment,comment
5,METRO-001,Metro Brand,Premium,North,California,Los Angeles,2024-01-15,January,Q1,2024,Positive,Great service staff and clean store premises
4,METRO-002,Metro Brand,Premium,South,Texas,Houston,2024-01-20,January,Q1,2024,Positive,Good food quality and helpful staff
2,METRO-003,Metro Brand,Standard,East,New York,New York,2024-01-25,January,Q1,2024,Negative,Staff was rude and unhelpful
5,METRO-004,Metro Brand,Premium,West,California,San Francisco,2024-02-01,February,Q1,2024,Positive,Excellent price and clean hygiene
3,METRO-005,Metro Brand,Standard,North,California,San Diego,2024-02-10,February,Q1,2024,Neutral,Average experience with staff
2,METRO-006,Metro Brand,Standard,South,Texas,Dallas,2024-02-15,February,Q1,2024,Negative,Hygiene and cleanliness issues noted
5,METRO-007,Metro Brand,Premium,East,New York,Brooklyn,2024-03-01,March,Q1,2024,Positive,Very clean and hygienic facilities
4,METRO-008,Metro Brand,Premium,West,Washington,Seattle,2024-03-10,March,Q1,2024,Positive,Staff was very helpful and friendly
1,METRO-009,Metro Brand,Standard,North,Illinois,Chicago,2024-03-15,March,Q1,2024,Negative,Product quality poor and staff unhelpful
5,METRO-010,Metro Brand,Premium,South,Florida,Miami,2024-04-01,April,Q2,2024,Positive,Great service atmosphere and cleanliness
4,METRO-011,Metro Brand,Standard,East,Pennsylvania,Philadelphia,2024-04-10,April,Q2,2024,Positive,Good service and friendly staff members
2,METRO-012,Metro Brand,Standard,West,Oregon,Portland,2024-04-15,April,Q2,2024,Negative,Expensive prices not justified
5,METRO-013,Metro Brand,Premium,North,Massachusetts,Boston,2024-05-01,May,Q2,2024,Positive,Excellent facilities and hygiene standards
3,METRO-014,Metro Brand,Standard,South,Georgia,Atlanta,2024-05-10,May,Q2,2024,Neutral,OK experience with staff
2,METRO-015,Metro Brand,Standard,East,Ohio,Cleveland,2024-05-15,May,Q2,2024,Negative,Staff not helpful expensive prices
5,METRO-016,Metro Brand,Premium,West,California,Los Angeles,2024-06-01,June,Q2,2024,Positive,Perfect store with clean premises
4,METRO-017,Metro Brand,Standard,North,New York,New York,2024-06-10,June,Q2,2024,Positive,Clean and hygienic with good staff
1,METRO-018,Metro Brand,Standard,South,Texas,Houston,2024-06-15,June,Q2,2024,Negative,Bad experience poor staff service
5,METRO-019,Metro Brand,Premium,North,California,San Jose,2024-07-01,July,Q3,2024,Positive,Excellent staff hygiene and prices
4,METRO-020,Metro Brand,Standard,South,Florida,Tampa,2024-07-10,July,Q3,2024,Positive,Good prices and clean facilities
